Virginia,U.S. Senator, Mark,Warner,D,MARKWARNER
Florida,U.S. Senator, Marco,Rubio,R,MARCORUBIO
New Hampshire,U.S. Senator, Maggie,Hassan,D,MAGGIE_HASSAN
Alaska,U.S. Senator, Lisa,Murkowski,R,LISAMURKOWSKI
South Carolina,U.S. Senator, Lindsey,Graham,R,LINDSEYGRAHAMSC
California,U.S. Senator, Alex,Padilla,D,KAMALAHARRIS
Louisiana,U.S. Senator, John,Kennedy,R,JOHNKENNEDYLA
Texas,U.S. Senator, John,Cornyn,R,JOHNCORNYN
Arkansas,U.S. Senator, John,Boozman,R,JOHNBOOZMAN
Kansas,U.S. Senator, Jerry,Moran,R,JERRYMORAN
Oklahoma,U.S. Senator, Jim,Inhofe,R,INHOFEPRESS
Missouri,U.S. Senator, Josh,Hawley,R,HAWLEYMO
New Jersey,U.S. Senator, Cory,Booker,D,CORYBOOKER
Iowa,U.S. Senator, Chuck,Grassley,R,CHUCKGRASSLEY
Maryland,U.S. Senator, Chris,Van Hollen,D,CHRISVANHOLLEN
Connecticut,U.S. Senator, Chris,Murphy,D,CHRISMURPHYCT
Nevada,U.S. Senator, Catherine,Cortez Mastro,D,CATHERINEFORNV
Indiana,U.S. Senator, Mike,Braun,R,BRAUN4INDIANA
Tennessee,U.S. Senator, Bill,Hagerty,R,BILLHAGERTYTN
Louisiana,U.S. Senator, Bill,Cassidy,R,BILLCASSIDY
Minnesota,U.S. Senator, Amy,Klobuchar,D,AMYKLOBUCHAR
